TGSAS.IS,TGS Dis Ticaret Anonim Sirketi
SEKFK.IS,Seker Finansal Kiralama A.S.
DERIM.IS,Derimod Konfeksiyon Ayakkabi Deri Sanayi ve Ticaret A.S.
ESCOM.IS,Escort Teknoloji Yatirim A.S.
GLBMD.IS,Global Menkul Degerler Anonim Sirketi
SILVR.IS,Silverline Endustri ve Ticaret A.S.
AKYHO.IS,Akdeniz Yatirim Holding A.S.
FLAP.IS,Flap Kongre Toplanti Hizmetleri Otomotiv ve Turizm A.S.
MEPET.IS,Mepet Metro Petrol ve Tesisleri Sanayi Ticaret A.S.
DESPC.IS,Despec Bilgisayar Pazarlama ve Ticaret Anonim Sirketi
ETILR.IS,Etiler Gida Ve Ticari Yatirimlar Sanayi Ve Ticaret Anonim Sirketi
MARTI.IS,Marti Otel Isletmeleri A.S.
EMKEL.IS,Emek Elektrik Endustrisi Anonim Sirketi
PEGYO.IS,PERA Gayrimenkul Yatirim Ortakligi AS
AVGYO.IS,Avrasya Gayrimenkul Yatirim Ortakligi Anonim Sirketi
BALAT.IS,Balatacilar Balatacilik Sanayi Ve Ticaret A.S.
TDGYO.IS,Trend Gayrimenkul Yatirim Ortakligi A.S.
TMPOL.IS,Temapol Polimer Plastik ve Insaat Sanayi Ticaret A.S.
MEGAP.IS,Mega Polietilen Kopuk Sanayi ve Ticaret Anonim Sirketi
EUHOL.IS,Euro Yatirim Holding A.S.
AVHOL.IS,Avrupa Yatirim Holding A.S.
VKFYO.IS,Vakif Menkul Kiymet Yatirim Ortakligi A.S.
BURCE.IS,Burcelik Bursa celik Dokum Sanayii A.S.
OZRDN.IS,ozerden Plastik Sanayi ve Ticaret A.S.
ACSEL.IS,Aciselsan Acipayam Seluloz Sanayi Ve Ticaret A.S.
PSDTC.IS,Pergamon Status Dis Ticaret A.S.
BAYRK.IS,Bayrak EBT Taban Sanayi ve Ticaret Anonim Sirketi
SMART.IS,Smartiks Yazilim A.S.
ERSU.IS,Ersu Meyve ve Gida Sanayii A.S.
YAYLA.IS,Yayla Enerji uretim Turizm ve Insaat Ticaret A.S.
METUR.IS,Metemtur Yatirim Enerji Turizm ve Insaat Anonim Sirketi
VANGD.IS,Vanet Gida Sanayi Ic Ve Dis Ticaret Anonim Sirketi
BURVA.IS,Burcelik Vana Sanayi ve Ticaret A.S.
